ID,Deliverable,Discipline,Task,SRR Fidelity,SRR Input Task,SRR Outputs,PDR Fidelity,PDR Input Task,PDR Outputs,CDR Fidelity,CDR Input Task,CDR Output Task,QR Fidelity,QR Input Task,QR Outputs
1,MPE,Aerodynamics,Distribution of aero forces,"Line loads from DATCOM, basic analytical, empirical sources.",OML,Cumulative aero coefficients as a function of length.,,,,Possible basic wind tunnel testing for critical cases.,,,"Wind Tunnel Validated CFD, Transonic Buffet, (up to 2000Hz to be revised)","OML, DRTs",Full Pressure Distribution including Transonic Buffet across Frequency Domain
2,MPE,Structures,Static flight loads,Rigid body line loads.,"Distribution of aero forces, DRTs, Gravimetrics, Propulsion loads",Structural loads,,,,"Similar to QR, critical conditions only? Shell or beam model?",,,"Full FEA CLA across the flight profile, Control in the Loop, Transonic Buffet, Quasi-static Loads","Control Profile, Full Vehicle Model, Pad Loads, Transonic Buffet, Thrust Transient Profile Model","MPE dynamic loads, PUG"
3,MPE,Structures,Dynamic flight loads,Factor on static loads.,N/A,Structural loads,"Lift-off dynamics, Fin Flutter (if needed)","Distribution of aero forces, DRTs, Gravimetrics, Propulsion loads, Bending and axial modes",,As above (same analysis for QR),"Distribution of aero forces, DRTs, Gravimetrics, Control system parameters, Propulsion loads, Bending and axial modes",,As above (same analysis for QR),As above (same analysis for QR),As above (same analysis for QR)
4,MPE,Structures,Pad loads,Cantilevered beam with steady wind. Check of vortex shedding likelihood.,"Dry Gravimetrics, Wet Gravimetrics, OML","Structural loads, MGLS loads",Estimated pad wind limits ,Environment definition,Pad wind limits,,,,"Ground Winds, Monte Carlo all interested parameters, Wind Tunnel Vortex Shedding Testing, ground wind loads analysis tool (smiliar to NASA Ares tool)","Environment data, ground wind data base, vehicle and pad model","MPE pad loads, pad wind limits"
5,MPE,Structures,Lifting loads,Beam loads given lifting points.,"Dry Gravimetrics, MGLS Con-ops.","Structural loads, lifting points.",,,,Detailed FEA analysis with Ground structure and Vehicle,,,Load/strain data from lifting operations,Full vehicle structural dynamic model and lifting/gls structural model,Lifting/erection loads
6,MPE,Aerodynamics,Aerothermal loads,"Empirical, historical, shock-expansion.","DRTs, OML",Thermal loads,,"DRTs, OML",,,"DRTs, OML",,"Wind Tunnel Validated CFD including protuberances, plume effects, jet crossflow interaction, vehicle tolerances. Margin for off-nominal conditions.","OML, DRTs","MPE aerothermal loads, 
validate payload and vehicle free molecular heating"
7,MPE,Thermal,Internal thermal modelling,Internal air and skin temperatures estimated from historical/empirical data,N/A,"MPE internal thermal environment, HVAC requirements",,Aerothermal loads,,Stage level thermal FEA model including HVAC.,Aerothermal loads,,Physical test to validate model/replicating vehicle thermal environment with avionics units powered and representative HVAC,"OML, layout, avionics architecture, power budget, environment definition",Verification of MPE vehicle internal thermal enviornment
8,MPE,GNC,Separation modelling,Rigid body dynamics with linearised aero.,"DRTs, Aerodynamic design and coefficients, CoG & MoI requirements.","q and alpha limits, separation system push-off velocity, control lockout times.",,DRTs,,"Rigid multi-body, worst cases or MC.",DRTs,,"Detailed CLA model of Separation event, MC for contact probability","Full vehicle structural dynamic model, separation system specs, DRTs, COG MOIs, aerodynamics","Verification of GNC separation requirement specification, MPE separation loads"
9,MPE,Structures,Flight vibration & acoustics,SMC profile.,None,Vibration requirements and loads,,None,,,,,"Full FEA model to verify Dynamic Flight Loads against SMC
Using test data to verify model (e.g stack test data, hammer test)","Thrust model, Aerodynamics model","Extract PSDs at points of interest (i.e IMU)
Verification that vibration environment is within SMC"
10,MPE,Structures,Transport vibration,Mil-810 profile.,Ground CONOPs,Vibration requirements and loads,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,MPE,Structures,Lift-off vibration & acoustics,Historical/empirical engine data and analytical methods.,"OML, vehicle and GLS layout","Ground acoustics requirements for deluge, plume deflection, etc",,"OML, vehicle and GLS layout",,,"OML, vehicle and GLS layout",,"FEA acoustic model of LV and ground structures
Using engine test/stat test data to verify model","Thrust model, 
LV and ground structures spefication","Acoustic PSD at points of interest (e.g payload, IMU)
Verification that acoustic environment is within SMC"
